Település,Településtípus,2022-es helyezés a rangsorban,2022-es Indexpontszám,rangsor2014,index2014,Rangsor helyezés változása 2014-hez képest,Indexpontszám változása 2014-hez képest
Jobbágyi,Kistelepülés,750,"10,5",1156,"8,3",406,"-2,2"
Hejőbába,Kistelepülés,1989,"8,4",1568,"7,7",-421,"-0,7"
Farád,Kistelepülés,940,10,446,"9,6",-494,"-0,4"
Felcsút,Kistelepülés,1,"23,9",54,"12,4",53,"-11,5"
Máriapócs,Kistelepülés,260,"12,6",238,"10,4",-22,"-2,2"
Nagyszentjános,Kistelepülés,510,"11,3",343,10,-167,"-1,3"
Bogács,Kistelepülés,98,"14,1",99,"11,3",1,"-2,8"
Jászfelsőszentgyörgy,Kistelepülés,1571,9,1245,"8,1",-326,"-0,9"
Vámosgyörk,Kistelepülés,376,"11,9",544,"9,4",168,"-2,5"
Aszaló,Kistelepülés,889,"10,1",1879,"7,4",990,"-2,7"
Ságvár,Kistelepülés,771,"10,4",723,"8,9",-48,"-1,5"
Újszentiván,Kistelepülés,229,"12,8",145,"10,9",-84,"-1,9"
Noszvaj,Kistelepülés,66,15,159,"10,8",93,"-4,2"
Méhkerék,Kistelepülés,962,10,814,"8,8",-148,"-1,2"
Kompolt,Kistelepülés,559,"11,1",811,"8,8",252,"-2,3"
Bajna,Kistelepülés,1151,"9,6",257,"10,3",-894,"0,7"
Döbrököz,Kistelepülés,1368,"9,2",1259,"8,1",-109,"-1,1"
Parád,Kistelepülés,299,"12,3",245,"10,4",-54,"-1,9"
Nagyrábé,Kistelepülés,507,"11,3",1457,"7,9",950,"-3,4"
Becsehely,Kistelepülés,228,"12,8",871,"8,7",643,"-4,1"
Tatárszentgyörgy,Kistelepülés,788,"10,4",800,"8,8",12,"-1,6"
Alap,Kistelepülés,789,"10,4",1472,"7,9",683,"-2,5"
Ágasegyháza,Kistelepülés,831,"10,2",857,"8,7",26,"-1,5"
Rózsaszentmárton,Kistelepülés,284,"12,4",538,"9,4",254,-3
Szentkirály,Kistelepülés,346,"12,1",455,"9,6",109,"-2,5"
Győrladamér,Kistelepülés,576,11,94,"11,4",-482,"0,4"
Zomba,Kistelepülés,978,"9,9",271,"10,3",-707,"0,4"
Kesznyéten,Kistelepülés,2573,"7,4",2527,"6,5",-46,"-0,9"
Nyírmártonfalva,Kistelepülés,626,"10,9",1204,"8,2",578,"-2,7"
Tyukod,Kistelepülés,1402,"9,2",990,"8,5",-412,"-0,7"
Fábiánsebestyén,Kistelepülés,674,"10,7",489,"9,5",-185,"-1,2"
Mád,Kistelepülés,210,"12,9",115,"11,2",-95,"-1,7"
Anarcs,Kistelepülés,583,11,1320,"8,1",737,"-2,9"
Hidas,Kistelepülés,1450,"9,1",1281,"8,1",-169,-1
Nyírgyulaj,Kistelepülés,796,"10,3",1373,8,577,"-2,3"
Galgamácsa,Kistelepülés,273,"12,5",321,10,48,"-2,5"
Nyírvasvári,Kistelepülés,867,"10,1",1277,"8,1",410,-2
Domoszló,Kistelepülés,435,"11,6",311,10,-124,"-1,6"
Zagyvaszántó,Kistelepülés,418,"11,7",474,"9,5",56,"-2,2"
Dunasziget,Kistelepülés,1068,"9,8",938,"8,6",-130,"-1,2"
Bátya,Kistelepülés,1417,"9,2",735,"8,9",-682,"-0,3"
Tiszaszentimre,Kistelepülés,1023,"9,9",606,"9,2",-417,"-0,7"
Császár,Kistelepülés,1184,"9,5",436,"9,6",-748,"0,1"
Magyarbánhegyes,Kistelepülés,580,11,513,"9,4",-67,"-1,6"
Rákócziújfalu,Kistelepülés,1232,"9,5",476,"9,5",-756,0
Mosonszolnok,Kistelepülés,455,"11,5",157,"10,8",-298,"-0,7"
Leányvár,Kistelepülés,1130,"9,7",712,9,-418,"-0,7"
Enese,Kistelepülés,124,"13,7",531,"9,4",407,"-4,3"
Encsencs,Kistelepülés,2261,8,1886,"7,4",-375,"-0,6"
Csomád,Kistelepülés,154,"13,4",149,"10,9",-5,"-2,5"
Pátka,Kistelepülés,1392,"9,2",1055,"8,4",-337,"-0,8"
Nyírtass,Kistelepülés,740,"10,5",1035,"8,4",295,"-2,1"
Bócsa,Kistelepülés,840,"10,2",831,"8,8",-9,"-1,4"
Kocsér,Kistelepülés,1710,"8,7",1951,"7,3",241,"-1,4"
Tar,Kistelepülés,800,"10,3",1295,"8,1",495,"-2,2"
Visegrád,Kistelepülés,28,"16,5",33,"13,3",5,"-3,2"
Tarnaörs,Kistelepülés,2029,"8,3",1776,"7,5",-253,"-0,8"
Dávod,Kistelepülés,822,"10,2",423,"9,7",-399,"-0,5"
Heréd,Kistelepülés,633,"10,8",491,"9,5",-142,"-1,3"
Taktaszada,Kistelepülés,2247,8,2228,7,-19,-1
Gyulaháza,Kistelepülés,712,"10,6",1476,"7,8",764,"-2,8"
Márkó,Kistelepülés,774,"10,4",104,"11,3",-670,"0,9"
Nyirád,Kistelepülés,1088,"9,7",1247,"8,1",159,"-1,6"
Csetény,Kistelepülés,1217,"9,5",477,"9,5",-740,0
Vácduka,Kistelepülés,121,"13,7",276,"10,2",155,"-3,5"
Vértesacsa,Kistelepülés,1526,9,1323,"8,1",-203,"-0,9"
Nyírtura,Kistelepülés,198,"12,9",189,"10,6",-9,"-2,3"
Soponya,Kistelepülés,1090,"9,7",1070,"8,4",-20,"-1,3"
Váchartyán,Kistelepülés,362,12,869,"8,7",507,"-3,3"
Sármellék,Kistelepülés,365,12,131,11,-234,-1
Gégény,Kistelepülés,1511,9,1132,"8,3",-379,"-0,7"
Lábod,Kistelepülés,768,"10,4",1746,"7,5",978,"-2,9"
Szurdokpüspöki,Kistelepülés,540,"11,2",860,"8,7",320,"-2,5"
Kálmánháza,Kistelepülés,477,"11,4",410,"9,7",-67,"-1,7"
Csengele,Kistelepülés,995,"9,9",1490,"7,8",495,"-2,1"
Bercel,Kistelepülés,499,"11,3",887,"8,7",388,"-2,6"
Újlengyel,Kistelepülés,350,12,941,"8,6",591,"-3,4"
Madocsa,Kistelepülés,951,10,507,"9,4",-444,"-0,6"
Nagyfüged,Kistelepülés,1228,"9,5",1356,8,128,"-1,5"
Besnyő,Kistelepülés,1313,"9,3",483,"9,5",-830,"0,2"
Tiszabezdéd,Kistelepülés,1998,"8,4",1118,"8,3",-880,"-0,1"
Mátraverebély,Kistelepülés,901,"10,1",335,10,-566,"-0,1"
Tényő,Kistelepülés,314,"12,2",727,"8,9",413,"-3,3"
Tiszanagyfalu,Kistelepülés,690,"10,7",645,"9,1",-45,"-1,6"
Tiszabercel,Kistelepülés,1582,"8,9",1124,"8,3",-458,"-0,6"
Dunaszekcső,Kistelepülés,1726,"8,7",754,"8,9",-972,"0,2"
Taszár,Kistelepülés,297,"12,4",326,10,29,"-2,4"
Ököritófülpös,Kistelepülés,2308,"7,9",1836,"7,4",-472,"-0,5"
Dunaalmás,Kistelepülés,372,12,870,"8,7",498,"-3,3"
Atkár,Kistelepülés,434,"11,6",552,"9,3",118,"-2,3"
Majosháza,Kistelepülés,91,"14,4",585,"9,3",494,"-5,1"
Felsőszentiván,Kistelepülés,486,"11,4",925,"8,6",439,"-2,8"
Mátraderecske,Kistelepülés,661,"10,8",642,"9,1",-19,"-1,7"
Szár,Kistelepülés,514,"11,3",220,"10,4",-294,"-0,9"
Pap,Kistelepülés,1572,9,1519,"7,8",-53,"-1,2"
Halmaj,Kistelepülés,347,"12,1",265,"10,3",-82,"-1,8"
Balatonszemes,Kistelepülés,13,"17,8",38,13,25,"-4,8"
Nádasdladány,Kistelepülés,1284,"9,4",1240,"8,2",-44,"-1,2"
Markaz,Kistelepülés,245,"12,6",127,"11,1",-118,"-1,5"
Kálló,Kistelepülés,1636,"8,8",2117,"7,1",481,"-1,7"
Somogyvár,Kistelepülés,1046,"9,8",1131,"8,3",85,"-1,5"
Rábapaty,Kistelepülés,265,"12,5",539,"9,4",274,"-3,1"
Fábiánháza,Kistelepülés,2181,"8,1",2057,"7,2",-124,"-0,9"
Csökmő,Kistelepülés,1247,"9,4",1974,"7,3",727,"-2,1"
Ladánybene,Kistelepülés,845,"10,2",1335,8,490,"-2,2"
Tác,Kistelepülés,775,"10,4",263,"10,3",-512,"-0,1"
Tiszasziget,Kistelepülés,402,"11,8",533,"9,4",131,"-2,4"
Kunszállás,Kistelepülés,266,"12,5",485,"9,5",219,-3
Járdánháza,Kistelepülés,2416,"7,7",2044,"7,2",-372,"-0,5"
Nagyvázsony,Kistelepülés,138,"13,6",137,11,-1,"-2,6"
Csákánydoroszló,Kistelepülés,1157,"9,6",327,10,-830,"0,4"
Szederkény,Kistelepülés,702,"10,6",344,"9,9",-358,"-0,7"
Tázlár,Kistelepülés,2360,"7,8",1353,8,-1007,"0,2"
Vasmegyer,Kistelepülés,811,"10,3",1922,"7,3",1111,-3
Balatonkeresztúr,Kistelepülés,52,"15,4",70,"11,9",18,"-3,5"
Izsófalva,Kistelepülés,1604,"8,9",1474,"7,9",-130,-1
Karancskeszi,Kistelepülés,1413,"9,2",1198,"8,2",-215,-1
Jánkmajtis,Kistelepülés,1877,"8,5",1748,"7,5",-129,-1
Berekböszörmény,Kistelepülés,2328,"7,9",1336,8,-992,"0,1"
Mátraterenye,Kistelepülés,637,"10,8",689,9,52,"-1,8"
Dombegyház,Kistelepülés,587,11,1279,"8,1",692,"-2,9"
Hegykő,Kistelepülés,88,"14,4",76,"11,8",-12,"-2,6"
Szendehely,Kistelepülés,116,"13,8",107,"11,2",-9,"-2,6"
Szamosszeg,Kistelepülés,1552,9,672,"9,1",-880,"0,1"
Gyönk,Kistelepülés,68,15,24,"13,6",-44,"-1,4"
Hercegszántó,Kistelepülés,807,"10,3",1704,"7,6",897,"-2,7"
Ricse,Kistelepülés,1614,"8,9",820,"8,8",-794,"-0,1"
Kazár,Kistelepülés,1227,"9,5",1046,"8,4",-181,"-1,1"
Pálmonostora,Kistelepülés,1117,"9,7",2436,"6,7",1319,-3
Nemesnádudvar,Kistelepülés,437,"11,6",407,"9,7",-30,"-1,9"
Tardos,Kistelepülés,484,"11,4",862,"8,7",378,"-2,7"
Kevermes,Kistelepülés,1293,"9,4",1160,"8,3",-133,"-1,1"
Tömörkény,Kistelepülés,1945,"8,5",1507,"7,8",-438,"-0,7"
Jászboldogháza,Kistelepülés,588,11,805,"8,8",217,"-2,2"
Sirok,Kistelepülés,241,"12,7",213,"10,5",-28,"-2,2"
Kaszaper,Kistelepülés,1045,"9,8",412,"9,7",-633,"-0,1"
Érpatak,Kistelepülés,1226,"9,5",2237,7,1011,"-2,5"
Zalaapáti,Kistelepülés,407,"11,8",844,"8,7",437,"-3,1"
Magyaralmás,Kistelepülés,668,"10,7",242,"10,4",-426,"-0,3"
Nógrád,Kistelepülés,1072,"9,8",428,"9,6",-644,"-0,2"
Geszteréd,Kistelepülés,1019,"9,9",1017,"8,5",-2,"-1,4"
Vajszló,Kistelepülés,631,"10,8",1514,"7,8",883,-3
Dudar,Kistelepülés,358,12,267,"10,3",-91,"-1,7"
Bajót,Kistelepülés,1719,"8,7",1251,"8,1",-468,"-0,6"
Darnózseli,Kistelepülés,1047,"9,8",678,"9,1",-369,"-0,7"
Csávoly,Kistelepülés,501,"11,3",1108,"8,3",607,-3
Pusztamonostor,Kistelepülés,971,10,774,"8,9",-197,"-1,1"
Miske,Kistelepülés,1176,"9,6",992,"8,5",-184,"-1,1"
Győrság,Kistelepülés,130,"13,6",798,"8,8",668,"-4,8"
Tállya,Kistelepülés,345,"12,1",148,"10,9",-197,"-1,2"
Győrtelek,Kistelepülés,1677,"8,8",1218,"8,2",-459,"-0,6"
Álmosd,Kistelepülés,1024,"9,9",1628,"7,7",604,"-2,2"
Ikervár,Kistelepülés,842,"10,2",172,"10,7",-670,"0,5"
Kisléta,Kistelepülés,1919,"8,5",2126,"7,1",207,"-1,4"
Csabacsűd,Kistelepülés,531,"11,2",638,"9,1",107,"-2,1"
Bakonyszentlászló,Kistelepülés,316,"12,2",259,"10,3",-57,"-1,9"
Karcsa,Kistelepülés,1936,"8,5",1404,8,-532,"-0,5"
Nagykörű,Kistelepülés,449,"11,5",251,"10,3",-198,"-1,2"
Kisgyőr,Kistelepülés,977,"9,9",913,"8,6",-64,"-1,3"
Bükkábrány,Kistelepülés,145,"13,5",231,"10,4",86,"-3,1"
Türje,Kistelepülés,1329,"9,3",1061,"8,4",-268,"-0,9"
Nagycserkesz,Kistelepülés,2435,"7,7",2614,"6,4",179,"-1,3"
Csókakő,Kistelepülés,835,"10,2",193,"10,6",-642,"0,4"
Hernádkak,Kistelepülés,1544,9,487,"9,5",-1057,"0,5"
Kőszárhegy,Kistelepülés,917,"10,1",954,"8,6",37,"-1,5"
Nógrádmegyer,Kistelepülés,2280,8,2242,7,-38,-1
Rimóc,Kistelepülés,1357,"9,3",1163,"8,3",-194,-1
Palotás,Kistelepülés,375,12,837,"8,7",462,"-3,3"
Fülöp,Kistelepülés,1800,"8,6",1513,"7,8",-287,"-0,8"
Sály,Kistelepülés,2372,"7,8",1190,"8,2",-1182,"0,4"
Csépa,Kistelepülés,1504,"9,1",1182,"8,2",-322,"-0,9"
Görcsöny,Kistelepülés,1017,"9,9",834,"8,8",-183,"-1,1"
Penc,Kistelepülés,461,"11,5",1592,"7,7",1131,"-3,8"
Alsóvadász,Kistelepülés,1928,"8,5",1701,"7,6",-227,"-0,9"
Gyermely,Kistelepülés,397,"11,8",55,"12,3",-342,"0,5"
Németkér,Kistelepülés,1653,"8,8",1840,"7,4",187,"-1,4"
Olaszliszka,Kistelepülés,1252,"9,4",558,"9,3",-694,"-0,1"
Sajókeresztúr,Kistelepülés,888,"10,1",379,"9,8",-509,"-0,3"
Pacsa,Kistelepülés,216,"12,8",500,"9,5",284,"-3,3"
Fajsz,Kistelepülés,897,"10,1",1050,"8,4",153,"-1,7"
Katymár,Kistelepülés,1168,"9,6",1992,"7,3",824,"-2,3"
Tarnalelesz,Kistelepülés,1239,"9,4",879,"8,7",-360,"-0,7"
Tiszaroff,Kistelepülés,850,"10,2",899,"8,7",49,"-1,5"
Ozora,Kistelepülés,1817,"8,6",1522,"7,8",-295,"-0,8"
Bak,Kistelepülés,713,"10,6",334,10,-379,"-0,6"
Murakeresztúr,Kistelepülés,450,"11,5",1115,"8,3",665,"-3,2"
Sárkeresztes,Kistelepülés,575,"11,1",125,"11,1",-450,0
Kakasd,Kistelepülés,1029,"9,8",714,9,-315,"-0,8"
Csokonyavisonta,Kistelepülés,479,"11,4",575,"9,3",96,"-2,1"
Méra,Kistelepülés,1241,"9,4",1002,"8,5",-239,"-0,9"
Mátranovák,Kistelepülés,664,"10,8",720,"8,9",56,"-1,9"
Jásztelek,Kistelepülés,1261,"9,4",579,"9,3",-682,"-0,1"
Petneháza,Kistelepülés,1403,"9,2",1173,"8,3",-230,"-0,9"
Tolcsva,Kistelepülés,758,"10,5",192,"10,6",-566,"0,1"
Vaszar,Kistelepülés,688,"10,7",1144,"8,3",456,"-2,4"
Tarnaméra,Kistelepülés,541,"11,2",766,"8,9",225,"-2,3"
Mezőtárkány,Kistelepülés,915,"10,1",1688,"7,6",773,"-2,5"
Alcsútdoboz,Kistelepülés,856,"10,2",812,"8,8",-44,"-1,4"
Kőtelek,Kistelepülés,817,"10,3",590,"9,2",-227,"-1,1"
Mezőnyárád,Kistelepülés,367,12,392,"9,8",25,"-2,2"
Kincsesbánya,Kistelepülés,218,"12,8",143,"10,9",-75,"-1,9"
Kaposszekcső,Kistelepülés,651,"10,8",441,"9,6",-210,"-1,2"
Öreglak,Kistelepülés,749,"10,5",1551,"7,7",802,"-2,8"
Bana,Kistelepülés,1362,"9,3",1258,"8,1",-104,"-1,2"
Nárai,Kistelepülés,193,13,317,10,124,-3
Lőkösháza,Kistelepülés,622,"10,9",679,"9,1",57,"-1,8"
Tiszatenyő,Kistelepülés,1278,"9,4",340,10,-938,"0,6"
Zsadány,Kistelepülés,1840,"8,6",1268,"8,1",-572,"-0,5"
Bükkaranyos,Kistelepülés,349,"12,1",471,"9,5",122,"-2,6"
Tiszakanyár,Kistelepülés,1697,"8,8",1755,"7,5",58,"-1,3"
Balatonszentgyörgy,Kistelepülés,100,14,178,"10,7",78,"-3,3"
Sajóörös,Kistelepülés,187,13,396,"9,7",209,"-3,3"
Tiszavárkony,Kistelepülés,516,"11,2",520,"9,4",4,"-1,8"
Varsány,Kistelepülés,825,"10,2",982,"8,5",157,"-1,7"
Pócspetri,Kistelepülés,666,"10,8",1135,"8,3",469,"-2,5"
Szomolya,Kistelepülés,472,"11,5",619,"9,2",147,"-2,3"
Mecseknádasd,Kistelepülés,660,"10,8",462,"9,6",-198,"-1,2"
Alsópáhok,Kistelepülés,165,"13,3",515,"9,4",350,"-3,9"
Tiszajenő,Kistelepülés,1782,"8,6",893,"8,7",-889,"0,1"
Szatmárcseke,Kistelepülés,1114,"9,7",1625,"7,7",511,-2
Kaposfő,Kistelepülés,1319,"9,3",1601,"7,7",282,"-1,6"
Kurityán,Kistelepülés,1172,"9,6",648,"9,1",-524,"-0,5"
Petőfiszállás,Kistelepülés,833,"10,2",2027,"7,2",1194,-3
Papkeszi,Kistelepülés,1580,9,663,"9,1",-917,"0,1"
Tök,Kistelepülés,564,"11,1",569,"9,3",5,"-1,8"
Gellénháza,Kistelepülés,144,"13,5",235,"10,4",91,"-3,1"
Karád,Kistelepülés,1731,"8,7",1223,"8,2",-508,"-0,5"
Kübekháza,Kistelepülés,546,"11,1",816,"8,8",270,"-2,3"
Gyöngyösoroszi,Kistelepülés,1452,"9,1",1979,"7,3",527,"-1,8"
Vámosmikola,Kistelepülés,808,"10,3",1399,8,591,"-2,3"
Ormosbánya,Kistelepülés,1322,"9,3",1423,"7,9",101,"-1,4"
Dunaegyháza,Kistelepülés,986,"9,9",978,"8,5",-8,"-1,4"
Kápolna,Kistelepülés,348,"12,1",1302,"8,1",954,-4
Szerep,Kistelepülés,1823,"8,6",2257,7,434,"-1,6"
Mátraszőlős,Kistelepülés,999,"9,9",1048,"8,4",49,"-1,5"
Pereszteg,Kistelepülés,870,"10,1",951,"8,6",81,"-1,5"
Kunsziget,Kistelepülés,321,"12,2",118,"11,1",-203,"-1,1"
Pusztaföldvár,Kistelepülés,1855,"8,6",1405,8,-450,"-0,6"
Szepetnek,Kistelepülés,1765,"8,7",1605,"7,7",-160,-1
Szákszend,Kistelepülés,1792,"8,6",1039,"8,4",-753,"-0,2"
Vitnyéd,Kistelepülés,1270,"9,4",936,"8,6",-334,"-0,8"
Somogyjád,Kistelepülés,584,11,167,"10,7",-417,"-0,3"
Átány,Kistelepülés,2226,"8,1",2254,7,28,"-1,1"
Vilmány,Kistelepülés,2443,"7,7",2119,"7,1",-324,"-0,6"
Pálfa,Kistelepülés,2557,"7,4",2152,"7,1",-405,"-0,3"
Csólyospálos,Kistelepülés,1965,"8,4",1091,"8,4",-874,0
Kisapostag,Kistelepülés,166,"13,2",269,"10,3",103,"-2,9"
Tiszapalkonya,Kistelepülés,1769,"8,7",836,"8,8",-933,"0,1"
Ászár,Kistelepülés,620,"10,9",323,10,-297,"-0,9"
Pácin,Kistelepülés,1567,9,832,"8,8",-735,"-0,2"
Hangony,Kistelepülés,1715,"8,7",2007,"7,2",292,"-1,5"
Szabolcsveresmart,Kistelepülés,1419,"9,2",1504,"7,8",85,"-1,4"
Bátmonostor,Kistelepülés,524,"11,2",1365,8,841,"-3,2"
Szűcsi,Kistelepülés,650,"10,8",787,"8,8",137,-2
Egerbakta,Kistelepülés,2193,"8,1",1191,"8,2",-1002,"0,1"
Söjtör,Kistelepülés,1518,9,957,"8,6",-561,"-0,4"
Sajópetri,Kistelepülés,754,"10,5",1545,"7,8",791,"-2,7"
Lövő,Kistelepülés,422,"11,7",173,"10,7",-249,-1
Ludányhalászi,Kistelepülés,966,10,1933,"7,3",967,"-2,7"
Monok,Kistelepülés,1618,"8,9",1212,"8,2",-406,"-0,7"
Karancsalja,Kistelepülés,813,"10,3",691,9,-122,"-1,3"
Balotaszállás,Kistelepülés,1012,"9,9",1972,"7,3",960,"-2,6"
Szügy,Kistelepülés,127,"13,7",154,"10,8",27,"-2,9"
Tárkány,Kistelepülés,1961,"8,4",1227,"8,2",-734,"-0,2"
Pusztadobos,Kistelepülés,1103,"9,7",1621,"7,7",518,-2
Foktő,Kistelepülés,271,"12,5",1060,"8,4",789,"-4,1"
Szilvásvárad,Kistelepülés,57,"15,3",48,"12,5",-9,"-2,8"
Nagysáp,Kistelepülés,1952,"8,5",1547,"7,7",-405,"-0,8"
Zsáka,Kistelepülés,1083,"9,7",682,9,-401,"-0,7"
Nagylóc,Kistelepülés,1076,"9,8",915,"8,6",-161,"-1,2"
Legyesbénye,Kistelepülés,1159,"9,6",1042,"8,4",-117,"-1,2"
Tótvázsony,Kistelepülés,724,"10,6",316,10,-408,"-0,6"
Kékcse,Kistelepülés,1869,"8,5",1432,"7,9",-437,"-0,6"
Őr,Kistelepülés,1669,"8,8",1084,"8,4",-585,"-0,4"
Telekgerendás,Kistelepülés,536,"11,2",696,9,160,"-2,2"
Kőröshegy,Kistelepülés,199,"12,9",252,"10,3",53,"-2,6"
Bezenye,Kistelepülés,427,"11,6",1105,"8,3",678,"-3,3"
Köröm,Kistelepülés,2591,"7,3",2740,"5,9",149,"-1,4"
Sopronkövesd,Kistelepülés,220,"12,8",165,"10,7",-55,"-2,1"
Keszü,Kistelepülés,1123,"9,7",219,"10,4",-904,"0,7"
Tiszasüly,Kistelepülés,823,"10,2",833,"8,8",10,"-1,4"
Buzsák,Kistelepülés,240,"12,7",1290,"8,1",1050,"-4,6"
Báta,Kistelepülés,1335,"9,3",739,"8,9",-596,"-0,4"
Derekegyház,Kistelepülés,469,"11,5",1138,"8,3",669,"-3,2"
Somogyszob,Kistelepülés,1145,"9,6",372,"9,8",-773,"0,2"
Szigetbecse,Kistelepülés,1049,"9,8",1172,"8,3",123,"-1,5"
Drégelypalánk,Kistelepülés,776,"10,4",388,"9,8",-388,"-0,6"
Börcs,Kistelepülés,251,"12,6",898,"8,7",647,"-3,9"
Vértessomló,Kistelepülés,983,"9,9",164,"10,7",-819,"0,8"
Látrány,Kistelepülés,616,"10,9",1700,"7,6",1084,"-3,3"
Nagyharsány,Kistelepülés,1061,"9,8",1677,"7,6",616,"-2,2"
Kunadacs,Kistelepülés,522,"11,2",850,"8,7",328,"-2,5"
Sényő,Kistelepülés,309,"12,3",395,"9,7",86,"-2,6"
Rezi,Kistelepülés,419,"11,7",1344,8,925,"-3,7"
Püspökhatvan,Kistelepülés,1082,"9,7",971,"8,5",-111,"-1,2"
Babócsa,Kistelepülés,1291,"9,4",921,"8,6",-370,"-0,8"
Neszmély,Kistelepülés,1468,"9,1",700,9,-768,"-0,1"
Balatonvilágos,Kistelepülés,39,"15,8",17,"14,3",-22,"-1,5"
Gyarmat,Kistelepülés,1010,"9,9",295,"10,1",-715,"0,2"
Fertőszéplak,Kistelepülés,60,"15,2",304,"10,1",244,"-5,1"
Sarkadkeresztúr,Kistelepülés,1542,9,1346,8,-196,-1
Igal,Kistelepülés,107,"13,9",46,"12,5",-61,"-1,4"
Balatonfőkajár,Kistelepülés,294,"12,4",288,"10,2",-6,"-2,2"
Gyúró,Kistelepülés,755,"10,5",158,"10,8",-597,"0,3"
Kunbaja,Kistelepülés,1405,"9,2",1780,"7,5",375,"-1,7"
Pogány,Kistelepülés,171,"13,2",621,"9,2",450,-4
Tihany,Kistelepülés,3,"21,2",2,"16,8",-1,"-4,4"
Csabdi,Kistelepülés,1084,"9,7",1309,"8,1",225,"-1,6"
Kővágószőlős,Kistelepülés,319,"12,2",649,"9,1",330,"-3,1"
Ramocsaháza,Kistelepülés,1469,"9,1",1098,"8,4",-371,"-0,7"
Dejtár,Kistelepülés,1491,"9,1",1757,"7,5",266,"-1,6"
Kölesd,Kistelepülés,508,"11,3",574,"9,3",66,-2
Novajidrány,Kistelepülés,1620,"8,9",1074,"8,4",-546,"-0,5"
Pusztaszer,Kistelepülés,1361,"9,3",1283,"8,1",-78,"-1,2"
Tiszatarján,Kistelepülés,1927,"8,5",1706,"7,6",-221,"-0,9"
Somberek,Kistelepülés,909,"10,1",622,"9,2",-287,"-0,9"
Nagyberki,Kistelepülés,1336,"9,3",981,"8,5",-355,"-0,8"
Szil,Kistelepülés,806,"10,3",439,"9,6",-367,"-0,7"
Etes,Kistelepülés,1957,"8,5",1803,"7,5",-154,-1
Balatonendréd,Kistelepülés,1170,"9,6",1794,"7,5",624,"-2,1"
Nagykarácsony,Kistelepülés,1143,"9,6",2005,"7,2",862,"-2,4"
Pély,Kistelepülés,1854,"8,6",2125,"7,1",271,"-1,5"
Sárszentágota,Kistelepülés,1640,"8,8",1910,"7,4",270,"-1,4"
Újszentmargita,Kistelepülés,1433,"9,2",708,9,-725,"-0,2"
Vasszécseny,Kistelepülés,772,"10,4",706,9,-66,"-1,4"
Bakonyszombathely,Kistelepülés,577,11,456,"9,6",-121,"-1,4"
Dédestapolcsány,Kistelepülés,1310,"9,3",524,"9,4",-786,"0,1"
Halmajugra,Kistelepülés,560,"11,1",355,"9,9",-205,"-1,2"
Sé,Kistelepülés,173,"13,1",240,"10,4",67,"-2,7"
Mernye,Kistelepülés,443,"11,6",171,"10,7",-272,"-0,9"
Novaj,Kistelepülés,414,"11,7",381,"9,8",-33,"-1,9"
Acsa,Kistelepülés,378,"11,9",875,"8,7",497,"-3,2"
Kajárpéc,Kistelepülés,1272,"9,4",1034,"8,4",-238,-1
Esztár,Kistelepülés,574,"11,1",1367,8,793,"-3,1"
Hédervár,Kistelepülés,268,"12,5",146,"10,9",-122,"-1,6"
Pusztavacs,Kistelepülés,467,"11,5",1679,"7,6",1212,"-3,9"
Nádasd,Kistelepülés,782,"10,4",550,"9,3",-232,"-1,1"
Zebegény,Kistelepülés,572,"11,1",130,11,-442,"-0,1"
Nagyberény,Kistelepülés,1843,"8,6",1896,"7,4",53,"-1,2"
Pilisszentlászló,Kistelepülés,1124,"9,7",701,9,-423,"-0,7"
Kutas,Kistelepülés,1435,"9,1",1505,"7,8",70,"-1,3"
Egyházasrádóc,Kistelepülés,263,"12,5",674,"9,1",411,"-3,4"
Mesztegnyő,Kistelepülés,2095,"8,3",1386,8,-709,"-0,3"
Mezőszentgyörgy,Kistelepülés,1988,"8,4",872,"8,7",-1116,"0,3"
Magyarpolány,Kistelepülés,115,"13,8",234,"10,4",119,"-3,4"
Istenmezeje,Kistelepülés,1120,"9,7",1689,"7,6",569,"-2,1"
Verseg,Kistelepülés,601,11,1360,8,759,-3
Nagyvarsány,Kistelepülés,765,"10,4",1369,8,604,"-2,4"
Tiszatelek,Kistelepülés,2064,"8,3",1727,"7,6",-337,"-0,7"
Balatongyörök,Kistelepülés,19,"17,3",6,"14,9",-13,"-2,4"
Mártély,Kistelepülés,304,"12,3",286,"10,2",-18,"-2,1"
Galambok,Kistelepülés,1910,"8,5",1314,"8,1",-596,"-0,4"
Pusztazámor,Kistelepülés,159,"13,3",426,"9,6",267,"-3,7"
Bánhorváti,Kistelepülés,1020,"9,9",390,"9,8",-630,"-0,1"
Tiszaörs,Kistelepülés,1741,"8,7",1390,8,-351,"-0,7"
Bágyogszovát,Kistelepülés,1204,"9,5",1334,8,130,"-1,5"
Szeremle,Kistelepülés,567,"11,1",1887,"7,4",1320,"-3,7"
Tarnazsadány,Kistelepülés,2734,"6,8",2469,"6,6",-265,"-0,2"
Egercsehi,Kistelepülés,1137,"9,6",1022,"8,5",-115,"-1,1"
Biri,Kistelepülés,76,"14,7",63,"12,1",-13,"-2,6"
Révfülöp,Kistelepülés,51,"15,4",101,"11,3",50,"-4,1"
Áporka,Kistelepülés,139,"13,5",779,"8,8",640,"-4,7"
Csátalja,Kistelepülés,1148,"9,6",966,"8,5",-182,"-1,1"
