Település,Településtípus,Év,Rangsor
Konyár,Kistelepülés,2022,997
Jászdózsa,Kistelepülés,2022,1091
Somoskőújfalu,Kistelepülés,2022,644
Bucsa,Kistelepülés,2022,718
Nagybaracska,Kistelepülés,2022,1056
Sukoró,Kistelepülés,2022,84
Szany,Kistelepülés,2022,324
Balatonfenyves,Kistelepülés,2022,33
Forráskút,Kistelepülés,2022,579
Szentkirályszabadja,Kistelepülés,2022,157
Tiszadada,Kistelepülés,2022,1211
Apostag,Kistelepülés,2022,439
Sajóvámos,Kistelepülés,2022,513
Tengelic,Kistelepülés,2022,1098
Maroslele,Kistelepülés,2022,485
Kópháza,Kistelepülés,2022,158
Aranyosapáti,Kistelepülés,2022,2453
Csengőd,Kistelepülés,2022,1003
Iklad,Kistelepülés,2022,669
Mezőszilas,Kistelepülés,2022,1365
Ópusztaszer,Kistelepülés,2022,519
Vasad,Kistelepülés,2022,417
Szabadegyháza,Kistelepülés,2022,143
Szihalom,Kistelepülés,2022,542
Nagykozár,Kistelepülés,2022,932
Pincehely,Kistelepülés,2022,493
Bogyiszló,Kistelepülés,2022,1334
Villány,Kistelepülés,2022,32
Tiszapüspöki,Kistelepülés,2022,621
Rád,Kistelepülés,2022,285
Szedres,Kistelepülés,2022,488
Dég,Kistelepülés,2022,991
Pilisjászfalu,Kistelepülés,2022,53
Ősi,Kistelepülés,2022,891
Szokolya,Kistelepülés,2022,259
Egerszalók,Kistelepülés,2022,37
Lajoskomárom,Kistelepülés,2022,436
Nagyoroszi,Kistelepülés,2022,290
Buják,Kistelepülés,2022,931
Pánd,Kistelepülés,2022,919
Harsány,Kistelepülés,2022,341
Torony,Kistelepülés,2022,176
Süttő,Kistelepülés,2022,803
Csörög,Kistelepülés,2022,1751
Mérk,Kistelepülés,2022,2091
Csór,Kistelepülés,2022,896
Hajdúbagos,Kistelepülés,2022,503
Farkaslyuk,Kistelepülés,2022,2244
Baks,Kistelepülés,2022,725
Úrkút,Kistelepülés,2022,555
Kömlő,Kistelepülés,2022,2564
Gönc,Kistelepülés,2022,200
Kántorjánosi,Kistelepülés,2022,1695
Székkutas,Kistelepülés,2022,655
Kék,Kistelepülés,2022,563
Piricse,Kistelepülés,2022,2240
Alsóörs,Kistelepülés,2022,10
Szentlőrinckáta,Kistelepülés,2022,785
Tinnye,Kistelepülés,2022,156
Nyírkáta,Kistelepülés,2022,2678
Ikrény,Kistelepülés,2022,246
Jobbágyi,Kistelepülés,2022,750
Hejőbába,Kistelepülés,2022,1989
Farád,Kistelepülés,2022,940
Felcsút,Kistelepülés,2022,1
Máriapócs,Kistelepülés,2022,260
Nagyszentjános,Kistelepülés,2022,510
Bogács,Kistelepülés,2022,98
Jászfelsőszentgyörgy,Kistelepülés,2022,1571
Vámosgyörk,Kistelepülés,2022,376
Aszaló,Kistelepülés,2022,889
Ságvár,Kistelepülés,2022,771
Újszentiván,Kistelepülés,2022,229
Noszvaj,Kistelepülés,2022,66
Méhkerék,Kistelepülés,2022,962
Kompolt,Kistelepülés,2022,559
Bajna,Kistelepülés,2022,1151
Döbrököz,Kistelepülés,2022,1368
Parád,Kistelepülés,2022,299
Nagyrábé,Kistelepülés,2022,507
Becsehely,Kistelepülés,2022,228
Tatárszentgyörgy,Kistelepülés,2022,788
Alap,Kistelepülés,2022,789
Ágasegyháza,Kistelepülés,2022,831
Rózsaszentmárton,Kistelepülés,2022,284
Szentkirály,Kistelepülés,2022,346
Győrladamér,Kistelepülés,2022,576
Zomba,Kistelepülés,2022,978
Kesznyéten,Kistelepülés,2022,2573
Nyírmártonfalva,Kistelepülés,2022,626
Tyukod,Kistelepülés,2022,1402
Fábiánsebestyén,Kistelepülés,2022,674
Mád,Kistelepülés,2022,210
Anarcs,Kistelepülés,2022,583
Hidas,Kistelepülés,2022,1450
Nyírgyulaj,Kistelepülés,2022,796
Galgamácsa,Kistelepülés,2022,273
Nyírvasvári,Kistelepülés,2022,867
Domoszló,Kistelepülés,2022,435
Zagyvaszántó,Kistelepülés,2022,418
Dunasziget,Kistelepülés,2022,1068
Bátya,Kistelepülés,2022,1417
Tiszaszentimre,Kistelepülés,2022,1023
Császár,Kistelepülés,2022,1184
Magyarbánhegyes,Kistelepülés,2022,580
Rákócziújfalu,Kistelepülés,2022,1232
Mosonszolnok,Kistelepülés,2022,455
Leányvár,Kistelepülés,2022,1130
Enese,Kistelepülés,2022,124
Encsencs,Kistelepülés,2022,2261
Csomád,Kistelepülés,2022,154
Pátka,Kistelepülés,2022,1392
Nyírtass,Kistelepülés,2022,740
Bócsa,Kistelepülés,2022,840
Kocsér,Kistelepülés,2022,1710
Tar,Kistelepülés,2022,800
Visegrád,Kistelepülés,2022,28
Tarnaörs,Kistelepülés,2022,2029
Dávod,Kistelepülés,2022,822
Heréd,Kistelepülés,2022,633
Taktaszada,Kistelepülés,2022,2247
Gyulaháza,Kistelepülés,2022,712
Márkó,Kistelepülés,2022,774
Nyirád,Kistelepülés,2022,1088
Csetény,Kistelepülés,2022,1217
Vácduka,Kistelepülés,2022,121
Vértesacsa,Kistelepülés,2022,1526
Nyírtura,Kistelepülés,2022,198
Soponya,Kistelepülés,2022,1090
Váchartyán,Kistelepülés,2022,362
Sármellék,Kistelepülés,2022,365
Gégény,Kistelepülés,2022,1511
Lábod,Kistelepülés,2022,768
Szurdokpüspöki,Kistelepülés,2022,540
Kálmánháza,Kistelepülés,2022,477
Csengele,Kistelepülés,2022,995
Bercel,Kistelepülés,2022,499
Újlengyel,Kistelepülés,2022,350
Madocsa,Kistelepülés,2022,951
Nagyfüged,Kistelepülés,2022,1228
Besnyő,Kistelepülés,2022,1313
Tiszabezdéd,Kistelepülés,2022,1998
Mátraverebély,Kistelepülés,2022,901
Tényő,Kistelepülés,2022,314
Tiszanagyfalu,Kistelepülés,2022,690
Tiszabercel,Kistelepülés,2022,1582
Dunaszekcső,Kistelepülés,2022,1726
Taszár,Kistelepülés,2022,297
Ököritófülpös,Kistelepülés,2022,2308
Dunaalmás,Kistelepülés,2022,372
Atkár,Kistelepülés,2022,434
Majosháza,Kistelepülés,2022,91
Felsőszentiván,Kistelepülés,2022,486
Mátraderecske,Kistelepülés,2022,661
Szár,Kistelepülés,2022,514
Pap,Kistelepülés,2022,1572
Halmaj,Kistelepülés,2022,347
Balatonszemes,Kistelepülés,2022,13
Nádasdladány,Kistelepülés,2022,1284
Markaz,Kistelepülés,2022,245
Kálló,Kistelepülés,2022,1636
Somogyvár,Kistelepülés,2022,1046
Rábapaty,Kistelepülés,2022,265
Fábiánháza,Kistelepülés,2022,2181
Csökmő,Kistelepülés,2022,1247
Ladánybene,Kistelepülés,2022,845
Tác,Kistelepülés,2022,775
Tiszasziget,Kistelepülés,2022,402
Kunszállás,Kistelepülés,2022,266
Járdánháza,Kistelepülés,2022,2416
Nagyvázsony,Kistelepülés,2022,138
Csákánydoroszló,Kistelepülés,2022,1157
Szederkény,Kistelepülés,2022,702
Tázlár,Kistelepülés,2022,2360
Vasmegyer,Kistelepülés,2022,811
Balatonkeresztúr,Kistelepülés,2022,52
Izsófalva,Kistelepülés,2022,1604
Karancskeszi,Kistelepülés,2022,1413
Jánkmajtis,Kistelepülés,2022,1877
Berekböszörmény,Kistelepülés,2022,2328
Mátraterenye,Kistelepülés,2022,637
Dombegyház,Kistelepülés,2022,587
Hegykő,Kistelepülés,2022,88
Szendehely,Kistelepülés,2022,116
Szamosszeg,Kistelepülés,2022,1552
Gyönk,Kistelepülés,2022,68
Hercegszántó,Kistelepülés,2022,807
Ricse,Kistelepülés,2022,1614
Kazár,Kistelepülés,2022,1227
Pálmonostora,Kistelepülés,2022,1117
Nemesnádudvar,Kistelepülés,2022,437
Tardos,Kistelepülés,2022,484
Kevermes,Kistelepülés,2022,1293
Tömörkény,Kistelepülés,2022,1945
Jászboldogháza,Kistelepülés,2022,588
Sirok,Kistelepülés,2022,241
Kaszaper,Kistelepülés,2022,1045
Érpatak,Kistelepülés,2022,1226
Zalaapáti,Kistelepülés,2022,407
Magyaralmás,Kistelepülés,2022,668
Nógrád,Kistelepülés,2022,1072
Geszteréd,Kistelepülés,2022,1019
Vajszló,Kistelepülés,2022,631
Dudar,Kistelepülés,2022,358
Bajót,Kistelepülés,2022,1719
Darnózseli,Kistelepülés,2022,1047
Csávoly,Kistelepülés,2022,501
Pusztamonostor,Kistelepülés,2022,971
Miske,Kistelepülés,2022,1176
Győrság,Kistelepülés,2022,130
Tállya,Kistelepülés,2022,345
Győrtelek,Kistelepülés,2022,1677
Álmosd,Kistelepülés,2022,1024
Ikervár,Kistelepülés,2022,842
Kisléta,Kistelepülés,2022,1919
Csabacsűd,Kistelepülés,2022,531
Bakonyszentlászló,Kistelepülés,2022,316
Karcsa,Kistelepülés,2022,1936
Nagykörű,Kistelepülés,2022,449
Kisgyőr,Kistelepülés,2022,977
Bükkábrány,Kistelepülés,2022,145
Türje,Kistelepülés,2022,1329
Nagycserkesz,Kistelepülés,2022,2435
Csókakő,Kistelepülés,2022,835
Hernádkak,Kistelepülés,2022,1544
Kőszárhegy,Kistelepülés,2022,917
Nógrádmegyer,Kistelepülés,2022,2280
Rimóc,Kistelepülés,2022,1357
Palotás,Kistelepülés,2022,375
Fülöp,Kistelepülés,2022,1800
Sály,Kistelepülés,2022,2372
Csépa,Kistelepülés,2022,1504
Görcsöny,Kistelepülés,2022,1017
Penc,Kistelepülés,2022,461
Alsóvadász,Kistelepülés,2022,1928
Gyermely,Kistelepülés,2022,397
Németkér,Kistelepülés,2022,1653
Olaszliszka,Kistelepülés,2022,1252
Sajókeresztúr,Kistelepülés,2022,888
Pacsa,Kistelepülés,2022,216
Fajsz,Kistelepülés,2022,897
Katymár,Kistelepülés,2022,1168
Tarnalelesz,Kistelepülés,2022,1239
Tiszaroff,Kistelepülés,2022,850
Ozora,Kistelepülés,2022,1817
Bak,Kistelepülés,2022,713
Murakeresztúr,Kistelepülés,2022,450
Sárkeresztes,Kistelepülés,2022,575
Kakasd,Kistelepülés,2022,1029
Csokonyavisonta,Kistelepülés,2022,479
Méra,Kistelepülés,2022,1241
Mátranovák,Kistelepülés,2022,664
Jásztelek,Kistelepülés,2022,1261
Petneháza,Kistelepülés,2022,1403
Tolcsva,Kistelepülés,2022,758
Vaszar,Kistelepülés,2022,688
Tarnaméra,Kistelepülés,2022,541
Mezőtárkány,Kistelepülés,2022,915
Alcsútdoboz,Kistelepülés,2022,856
Kőtelek,Kistelepülés,2022,817
Mezőnyárád,Kistelepülés,2022,367
Kincsesbánya,Kistelepülés,2022,218
Kaposszekcső,Kistelepülés,2022,651
Öreglak,Kistelepülés,2022,749
Bana,Kistelepülés,2022,1362
Nárai,Kistelepülés,2022,193
Lőkösháza,Kistelepülés,2022,622
Tiszatenyő,Kistelepülés,2022,1278
Zsadány,Kistelepülés,2022,1840
Bükkaranyos,Kistelepülés,2022,349
Tiszakanyár,Kistelepülés,2022,1697
Balatonszentgyörgy,Kistelepülés,2022,100
Sajóörös,Kistelepülés,2022,187
Tiszavárkony,Kistelepülés,2022,516
Varsány,Kistelepülés,2022,825
Pócspetri,Kistelepülés,2022,666
Szomolya,Kistelepülés,2022,472
Mecseknádasd,Kistelepülés,2022,660
Alsópáhok,Kistelepülés,2022,165
Tiszajenő,Kistelepülés,2022,1782
Szatmárcseke,Kistelepülés,2022,1114
Kaposfő,Kistelepülés,2022,1319
Kurityán,Kistelepülés,2022,1172
Petőfiszállás,Kistelepülés,2022,833
Papkeszi,Kistelepülés,2022,1580
Tök,Kistelepülés,2022,564
Gellénháza,Kistelepülés,2022,144
Karád,Kistelepülés,2022,1731
Kübekháza,Kistelepülés,2022,546
Gyöngyösoroszi,Kistelepülés,2022,1452
Vámosmikola,Kistelepülés,2022,808
Ormosbánya,Kistelepülés,2022,1322
Dunaegyháza,Kistelepülés,2022,986
Kápolna,Kistelepülés,2022,348
Szerep,Kistelepülés,2022,1823
Mátraszőlős,Kistelepülés,2022,999
Pereszteg,Kistelepülés,2022,870
Kunsziget,Kistelepülés,2022,321
Pusztaföldvár,Kistelepülés,2022,1855
Szepetnek,Kistelepülés,2022,1765
Szákszend,Kistelepülés,2022,1792
Vitnyéd,Kistelepülés,2022,1270
Somogyjád,Kistelepülés,2022,584
Átány,Kistelepülés,2022,2226
Vilmány,Kistelepülés,2022,2443
Pálfa,Kistelepülés,2022,2557
Csólyospálos,Kistelepülés,2022,1965
Kisapostag,Kistelepülés,2022,166
Tiszapalkonya,Kistelepülés,2022,1769
Ászár,Kistelepülés,2022,620
Pácin,Kistelepülés,2022,1567
Hangony,Kistelepülés,2022,1715
Szabolcsveresmart,Kistelepülés,2022,1419
Bátmonostor,Kistelepülés,2022,524
Szűcsi,Kistelepülés,2022,650
Egerbakta,Kistelepülés,2022,2193
Söjtör,Kistelepülés,2022,1518
Sajópetri,Kistelepülés,2022,754
Lövő,Kistelepülés,2022,422
Ludányhalászi,Kistelepülés,2022,966
Monok,Kistelepülés,2022,1618
Karancsalja,Kistelepülés,2022,813
Balotaszállás,Kistelepülés,2022,1012
Szügy,Kistelepülés,2022,127
Tárkány,Kistelepülés,2022,1961
Pusztadobos,Kistelepülés,2022,1103
Foktő,Kistelepülés,2022,271
Szilvásvárad,Kistelepülés,2022,57
Nagysáp,Kistelepülés,2022,1952
Zsáka,Kistelepülés,2022,1083
Nagylóc,Kistelepülés,2022,1076
Legyesbénye,Kistelepülés,2022,1159
Tótvázsony,Kistelepülés,2022,724
Kékcse,Kistelepülés,2022,1869
Őr,Kistelepülés,2022,1669
Telekgerendás,Kistelepülés,2022,536
Kőröshegy,Kistelepülés,2022,199
Bezenye,Kistelepülés,2022,427
Köröm,Kistelepülés,2022,2591
Sopronkövesd,Kistelepülés,2022,220
Keszü,Kistelepülés,2022,1123
Tiszasüly,Kistelepülés,2022,823
Buzsák,Kistelepülés,2022,240
Báta,Kistelepülés,2022,1335
Derekegyház,Kistelepülés,2022,469
Somogyszob,Kistelepülés,2022,1145
Szigetbecse,Kistelepülés,2022,1049
Drégelypalánk,Kistelepülés,2022,776
Börcs,Kistelepülés,2022,251
Vértessomló,Kistelepülés,2022,983
Látrány,Kistelepülés,2022,616
Nagyharsány,Kistelepülés,2022,1061
Kunadacs,Kistelepülés,2022,522
Sényő,Kistelepülés,2022,309
Rezi,Kistelepülés,2022,419
Püspökhatvan,Kistelepülés,2022,1082
Babócsa,Kistelepülés,2022,1291
Neszmély,Kistelepülés,2022,1468
Balatonvilágos,Kistelepülés,2022,39
Gyarmat,Kistelepülés,2022,1010
Fertőszéplak,Kistelepülés,2022,60
Sarkadkeresztúr,Kistelepülés,2022,1542
Igal,Kistelepülés,2022,107
Balatonfőkajár,Kistelepülés,2022,294
Gyúró,Kistelepülés,2022,755
Kunbaja,Kistelepülés,2022,1405
Pogány,Kistelepülés,2022,171
Tihany,Kistelepülés,2022,3
Csabdi,Kistelepülés,2022,1084
Kővágószőlős,Kistelepülés,2022,319
Ramocsaháza,Kistelepülés,2022,1469
Dejtár,Kistelepülés,2022,1491
Kölesd,Kistelepülés,2022,508
Novajidrány,Kistelepülés,2022,1620
Pusztaszer,Kistelepülés,2022,1361
Tiszatarján,Kistelepülés,2022,1927
Somberek,Kistelepülés,2022,909
Nagyberki,Kistelepülés,2022,1336
Szil,Kistelepülés,2022,806
Etes,Kistelepülés,2022,1957
Balatonendréd,Kistelepülés,2022,1170
Nagykarácsony,Kistelepülés,2022,1143
Pély,Kistelepülés,2022,1854
Sárszentágota,Kistelepülés,2022,1640
Újszentmargita,Kistelepülés,2022,1433
Vasszécseny,Kistelepülés,2022,772
Bakonyszombathely,Kistelepülés,2022,577
Dédestapolcsány,Kistelepülés,2022,1310
Halmajugra,Kistelepülés,2022,560
Sé,Kistelepülés,2022,173
Mernye,Kistelepülés,2022,443
Novaj,Kistelepülés,2022,414
Acsa,Kistelepülés,2022,378
Kajárpéc,Kistelepülés,2022,1272
Esztár,Kistelepülés,2022,574
Hédervár,Kistelepülés,2022,268
Pusztavacs,Kistelepülés,2022,467
Nádasd,Kistelepülés,2022,782
Zebegény,Kistelepülés,2022,572
Nagyberény,Kistelepülés,2022,1843
Pilisszentlászló,Kistelepülés,2022,1124
Kutas,Kistelepülés,2022,1435
Egyházasrádóc,Kistelepülés,2022,263
Mesztegnyő,Kistelepülés,2022,2095
Mezőszentgyörgy,Kistelepülés,2022,1988
Magyarpolány,Kistelepülés,2022,115
Istenmezeje,Kistelepülés,2022,1120
Verseg,Kistelepülés,2022,601
Nagyvarsány,Kistelepülés,2022,765
Tiszatelek,Kistelepülés,2022,2064
Balatongyörök,Kistelepülés,2022,19
Mártély,Kistelepülés,2022,304
Galambok,Kistelepülés,2022,1910
Pusztazámor,Kistelepülés,2022,159
Bánhorváti,Kistelepülés,2022,1020
Tiszaörs,Kistelepülés,2022,1741
Bágyogszovát,Kistelepülés,2022,1204
Szeremle,Kistelepülés,2022,567
Tarnazsadány,Kistelepülés,2022,2734
Egercsehi,Kistelepülés,2022,1137
Biri,Kistelepülés,2022,76
Révfülöp,Kistelepülés,2022,51
Áporka,Kistelepülés,2022,139
Csátalja,Kistelepülés,2022,1148
Tevel,Kistelepülés,2022,1174
Soltszentimre,Kistelepülés,2022,1696
Tetétlen,Kistelepülés,2022,1429
Kétsoprony,Kistelepülés,2022,1242
Teskánd,Kistelepülés,2022,177
Ugod,Kistelepülés,2022,306
Magyarcsanád,Kistelepülés,2022,1154
Súr,Kistelepülés,2022,1774
Városlőd,Kistelepülés,2022,751
Hortobágy,Kistelepülés,2022,164
Ravazd,Kistelepülés,2022,858
Tiszakürt,Kistelepülés,2022,926
Makád,Kistelepülés,2022,1711
Karancsság,Kistelepülés,2022,1686
Szőlősgyörök,Kistelepülés,2022,506
Bagod,Kistelepülés,2022,1294
Boconád,Kistelepülés,2022,691
Paszab,Kistelepülés,2022,2088
Gyüre,Kistelepülés,2022,2203
Balatonberény,Kistelepülés,2022,408
Gyömöre,Kistelepülés,2022,1187
Szakály,Kistelepülés,2022,398
Bénye,Kistelepülés,2022,1075
Bodroghalom,Kistelepülés,2022,1325
Tibolddaróc,Kistelepülés,2022,578
Nézsa,Kistelepülés,2022,498
Tiszaszőlős,Kistelepülés,2022,395
Réde,Kistelepülés,2022,1038
Kötegyán,Kistelepülés,2022,815
Kölcse,Kistelepülés,2022,1080
Homokmégy,Kistelepülés,2022,886
Pápateszér,Kistelepülés,2022,948
Borsodszirák,Kistelepülés,2022,1612
Nagybajcs,Kistelepülés,2022,952
Timár,Kistelepülés,2022,1565
Jenő,Kistelepülés,2022,557
Kehidakustány,Kistelepülés,2022,142
Sióagárd,Kistelepülés,2022,733
Rum,Kistelepülés,2022,1166
Kajászó,Kistelepülés,2022,114
Ecseg,Kistelepülés,2022,1379
Vajdácska,Kistelepülés,2022,1920
Rohod,Kistelepülés,2022,737
Alsószentmárton,Kistelepülés,2022,2021
Ilk,Kistelepülés,2022,1391
Iván,Kistelepülés,2022,1907
Iharosberény,Kistelepülés,2022,1414
Ináncs,Kistelepülés,2022,490
Véménd,Kistelepülés,2022,1367
Kocsola,Kistelepülés,2022,1547
Zalahaláp,Kistelepülés,2022,1152
Fülöpjakab,Kistelepülés,2022,2198
Bocfölde,Kistelepülés,2022,687
Somogysárd,Kistelepülés,2022,1888
Pitvaros,Kistelepülés,2022,814
Kislőd,Kistelepülés,2022,1167
Visonta,Kistelepülés,2022,72
Csákberény,Kistelepülés,2022,1073
Gerjen,Kistelepülés,2022,194
Lovászpatona,Kistelepülés,2022,582
Furta,Kistelepülés,2022,1475
Rém,Kistelepülés,2022,1254
Vizslás,Kistelepülés,2022,873
Bánréve,Kistelepülés,2022,1899
Dömös,Kistelepülés,2022,432
Jármi,Kistelepülés,2022,288
Mezőcsokonya,Kistelepülés,2022,2149
Nőtincs,Kistelepülés,2022,851
Bükkszentkereszt,Kistelepülés,2022,113
Dalmand,Kistelepülés,2022,1942
Komoró,Kistelepülés,2022,1442
Pázmándfalu,Kistelepülés,2022,1236
Szalánta,Kistelepülés,2022,1445
Lovászi,Kistelepülés,2022,363
Vanyarc,Kistelepülés,2022,805
Tenk,Kistelepülés,2022,639
Végegyháza,Kistelepülés,2022,922
Kismarja,Kistelepülés,2022,1737
Páhi,Kistelepülés,2022,2001
Taktakenéz,Kistelepülés,2022,2378
Bárdudvarnok,Kistelepülés,2022,1728
Endrefalva,Kistelepülés,2022,2093
Nagykereki,Kistelepülés,2022,1838
Tiszabecs,Kistelepülés,2022,1121
Nagykamarás,Kistelepülés,2022,911
Juta,Kistelepülés,2022,905
Murony,Kistelepülés,2022,760
Borota,Kistelepülés,2022,1245
Máza,Kistelepülés,2022,1736
Nagyrécse,Kistelepülés,2022,215
Szabolcsbáka,Kistelepülés,2022,2052
Bakonybél,Kistelepülés,2022,167
Sokorópátka,Kistelepülés,2022,532
Gyöngyösfalu,Kistelepülés,2022,1074
Igrici,Kistelepülés,2022,1358
Halimba,Kistelepülés,2022,992
Monostorapáti,Kistelepülés,2022,959
Hencida,Kistelepülés,2022,2028
Hernádvécse,Kistelepülés,2022,2723
Kömlőd,Kistelepülés,2022,1102
Balatonakarattya,Kistelepülés,2022,175
Gérce,Kistelepülés,2022,2122
Szomor,Kistelepülés,2022,834
Felgyő,Kistelepülés,2022,468
Tarany,Kistelepülés,2022,2355
Várdomb,Kistelepülés,2022,1233
Nagyesztergár,Kistelepülés,2022,1260
Apaj,Kistelepülés,2022,1286
Parasznya,Kistelepülés,2022,1447
Detk,Kistelepülés,2022,248
Inke,Kistelepülés,2022,2224
Szirák,Kistelepülés,2022,1868
Tótszerdahely,Kistelepülés,2022,1704
Szakmár,Kistelepülés,2022,974
Orfű,Kistelepülés,2022,24
Tiszaszentmárton,Kistelepülés,2022,1916
Rétközberencs,Kistelepülés,2022,2692
Visznek,Kistelepülés,2022,898
Bakonszeg,Kistelepülés,2022,731
Balogunyom,Kistelepülés,2022,1406
Tataháza,Kistelepülés,2022,1338
Hetes,Kistelepülés,2022,613
Daruszentmiklós,Kistelepülés,2022,1394
Babót,Kistelepülés,2022,1786
Zákány,Kistelepülés,2022,657
Egervár,Kistelepülés,2022,759
Lukácsháza,Kistelepülés,2022,292
Ecsegfalva,Kistelepülés,2022,1309
Bogád,Kistelepülés,2022,274
Héreg,Kistelepülés,2022,653
Kajdacs,Kistelepülés,2022,2331
Petőháza,Kistelepülés,2022,169
Letkés,Kistelepülés,2022,338
Sáta,Kistelepülés,2022,1947
Ároktő,Kistelepülés,2022,1701
Tard,Kistelepülés,2022,1059
Nyírcsászári,Kistelepülés,2022,705
Berekfürdő,Kistelepülés,2022,42
Nagybánhegyes,Kistelepülés,2022,747
Gerendás,Kistelepülés,2022,2141
Berente,Kistelepülés,2022,5
Magyarkeszi,Kistelepülés,2022,2031
Mihályi,Kistelepülés,2022,1219
Borsodszentgyörgy,Kistelepülés,2022,2677
Mezőszemere,Kistelepülés,2022,1007
Eperjeske,Kistelepülés,2022,2202
Váncsod,Kistelepülés,2022,2049
Balatonederics,Kistelepülés,2022,857
Sarród,Kistelepülés,2022,1515
Bácsborsód,Kistelepülés,2022,1412
Szárföld,Kistelepülés,2022,1386
Egerszólát,Kistelepülés,2022,370
Újléta,Kistelepülés,2022,2500
Varbó,Kistelepülés,2022,988
Tabdi,Kistelepülés,2022,868
Magyarnándor,Kistelepülés,2022,289
Görgeteg,Kistelepülés,2022,2459
Őrhalom,Kistelepülés,2022,799
Nagyiván,Kistelepülés,2022,2059
Nyíribrony,Kistelepülés,2022,942
Sajóhídvég,Kistelepülés,2022,1490
Zalaszentiván,Kistelepülés,2022,964
Hejőpapi,Kistelepülés,2022,1171
Remeteszőlős,Kistelepülés,2022,852
Lesencetomaj,Kistelepülés,2022,1826
Nyírgelse,Kistelepülés,2022,1093
Hidasnémeti,Kistelepülés,2022,377
Őriszentpéter,Kistelepülés,2022,82
Somlóvásárhely,Kistelepülés,2022,1188
Zánka,Kistelepülés,2022,26
Szuhogy,Kistelepülés,2022,1473
Tépe,Kistelepülés,2022,1407
Sarud,Kistelepülés,2022,379
Vásárosdombó,Kistelepülés,2022,1271
Bicsérd,Kistelepülés,2022,1663
Bükkösd,Kistelepülés,2022,1418
Zalacsány,Kistelepülés,2022,123
Pusztamérges,Kistelepülés,2022,1070
Tiszaderzs,Kistelepülés,2022,2074
Székely,Kistelepülés,2022,1280
Boldogkőváralja,Kistelepülés,2022,1472
Szalaszend,Kistelepülés,2022,945
Berzék,Kistelepülés,2022,2374
Felsőnyék,Kistelepülés,2022,2434
Olaszfalu,Kistelepülés,2022,1033
Káld,Kistelepülés,2022,1134
Kenézlő,Kistelepülés,2022,1258
Feldebrő,Kistelepülés,2022,478
Veszprémvarsány,Kistelepülés,2022,766
Beloiannisz,Kistelepülés,2022,1390
Szalonna,Kistelepülés,2022,1747
Szentpéterszeg,Kistelepülés,2022,2002
Gelse,Kistelepülés,2022,1205
Cered,Kistelepülés,2022,1008
Nagylók,Kistelepülés,2022,1585
Magyarszék,Kistelepülés,2022,981
Györköny,Kistelepülés,2022,272
Csősz,Kistelepülés,2022,2347
Gyékényes,Kistelepülés,2022,1543
Újkér,Kistelepülés,2022,1789
Hejőkeresztúr,Kistelepülés,2022,1189
Noszlop,Kistelepülés,2022,844
Sajóecseg,Kistelepülés,2022,458
Tabajd,Kistelepülés,2022,1225
Kurd,Kistelepülés,2022,1162
Tiszasas,Kistelepülés,2022,511
Nagylózs,Kistelepülés,2022,1133
Dorogháza,Kistelepülés,2022,1135
Kisvarsány,Kistelepülés,2022,1967
Veszkény,Kistelepülés,2022,957
Andocs,Kistelepülés,2022,1359
Újpetre,Kistelepülés,2022,1819
Dad,Kistelepülés,2022,1110
Kerekharaszt,Kistelepülés,2022,704
Tardona,Kistelepülés,2022,298
Kaposszerdahely,Kistelepülés,2022,342
Páka,Kistelepülés,2022,865
Kázsmárk,Kistelepülés,2022,1809
Szentpéterfa,Kistelepülés,2022,1139
Nagykónyi,Kistelepülés,2022,2015
Regöly,Kistelepülés,2022,827
Felpéc,Kistelepülés,2022,1050
Rábatamási,Kistelepülés,2022,1018
Bakonysárkány,Kistelepülés,2022,1632
Erdőbénye,Kistelepülés,2022,212
Kisar,Kistelepülés,2022,1372
Mezőörs,Kistelepülés,2022,70
Csököly,Kistelepülés,2022,1903
Bükkszenterzsébet,Kistelepülés,2022,1623
Erk,Kistelepülés,2022,2291
Felsőlajos,Kistelepülés,2022,334
Héhalom,Kistelepülés,2022,910
Nyírpilis,Kistelepülés,2022,2854
Sárszentlőrinc,Kistelepülés,2022,2382
Szelevény,Kistelepülés,2022,1639
Szuhakálló,Kistelepülés,2022,2279
Cserépfalu,Kistelepülés,2022,332
Gulács,Kistelepülés,2022,2364
Ságújfalu,Kistelepülés,2022,1220
Tiszagyenda,Kistelepülés,2022,708
Kölked,Kistelepülés,2022,2570
Lesenceistvánd,Kistelepülés,2022,1192
Mezőlak,Kistelepülés,2022,250
Pálháza,Kistelepülés,2022,168
Szentpéterúr,Kistelepülés,2022,2536
Balaton,Kistelepülés,2022,1579
Újkenéz,Kistelepülés,2022,1485
Hahót,Kistelepülés,2022,1380
Kamut,Kistelepülés,2022,960
Nagysimonyi,Kistelepülés,2022,2019
Örményes,Kistelepülés,2022,1344
Bakonynána,Kistelepülés,2022,1680
Kisbajcs,Kistelepülés,2022,569
Somogyudvarhely,Kistelepülés,2022,1616
Homokszentgyörgy,Kistelepülés,2022,1492
Kaskantyú,Kistelepülés,2022,2008
Zalaszentmihály,Kistelepülés,2022,1476
Galgagyörk,Kistelepülés,2022,1213
Agyagosszergény,Kistelepülés,2022,594
Várvölgy,Kistelepülés,2022,385
Dormánd,Kistelepülés,2022,680
Bódvaszilas,Kistelepülés,2022,987
